lineup_ids,lineup_names,MINUTES
203473-1627752-1628381-1628989-1629027,D. Dedmon-T. Prince-J. Collins-K. Huerter-T. Young,324.0
203145-203473-1628381-1628989-1629027,K. Bazemore-D. Dedmon-J. Collins-K. Huerter-T. Young,149.0
203473-1627761-1628381-1628989-1629027,D. Dedmon-D. Bembry-J. Collins-K. Huerter-T. Young,138.0
1713-203145-203458-1627752-1629027,V. Carter-K. Bazemore-A. Len-T. Prince-T. Young,102.0
203458-1627752-1628381-1628989-1629027,A. Len-T. Prince-J. Collins-K. Huerter-T. Young,94.0
203145-203473-1627752-1628381-1629027,K. Bazemore-D. Dedmon-T. Prince-J. Collins-T. Young,78.0
203145-203458-1627752-1629016-1629027,K. Bazemore-A. Len-T. Prince-O. Spellman-T. Young,62.0
1713-203145-203458-1627761-1629121,V. Carter-K. Bazemore-A. Len-D. Bembry-J. Adams,52.0
203473-1627752-1627761-1628381-1629027,D. Dedmon-T. Prince-D. Bembry-J. Collins-T. Young,48.0
202391-203145-203458-1627761-1629016,J. Lin-K. Bazemore-A. Len-D. Bembry-O. Spellman,35.0
203145-203473-1627761-1628381-1629027,K. Bazemore-D. Dedmon-D. Bembry-J. Collins-T. Young,34.0
203458-1627761-1628381-1628989-1629027,A. Len-D. Bembry-J. Collins-K. Huerter-T. Young,33.0
203145-203458-203473-1628989-1629027,K. Bazemore-A. Len-D. Dedmon-K. Huerter-T. Young,31.0
1713-1627752-1628381-1628989-1629027,V. Carter-T. Prince-J. Collins-K. Huerter-T. Young,31.0
1627761-1628381-1628989-1629016-1629027,D. Bembry-J. Collins-K. Huerter-O. Spellman-T. Young,29.0
203473-1627752-1628989-1629016-1629027,D. Dedmon-T. Prince-K. Huerter-O. Spellman-T. Young,29.0
1713-1627761-1628381-1628989-1629027,V. Carter-D. Bembry-J. Collins-K. Huerter-T. Young,29.0
1713-203145-203458-1627761-1629027,V. Carter-K. Bazemore-A. Len-D. Bembry-T. Young,29.0
1713-203145-203458-1628989-1629027,V. Carter-K. Bazemore-A. Len-K. Huerter-T. Young,28.0
203458-1627752-1627761-1628381-1629027,A. Len-T. Prince-D. Bembry-J. Collins-T. Young,27.0
1713-203458-1627752-1628989-1629027,V. Carter-A. Len-T. Prince-K. Huerter-T. Young,27.0
202391-203473-1627761-1628381-1628989,J. Lin-D. Dedmon-D. Bembry-J. Collins-K. Huerter,26.0
202391-203473-1627761-1628381-1629027,J. Lin-D. Dedmon-D. Bembry-J. Collins-T. Young,26.0
1713-202391-203145-1627761-1629016,V. Carter-J. Lin-K. Bazemore-D. Bembry-O. Spellman,25.0
1713-202391-203458-1627761-1628989,V. Carter-J. Lin-A. Len-D. Bembry-K. Huerter,24.0
1713-202391-203145-203458-1627761,V. Carter-J. Lin-K. Bazemore-A. Len-D. Bembry,24.0
203458-1627772-1628381-1628989-1629027,A. Len-D. Hamilton-J. Collins-K. Huerter-T. Young,23.0
203473-1627772-1628381-1628989-1629027,D. Dedmon-D. Hamilton-J. Collins-K. Huerter-T. Young,23.0
