Player1,Shapley1,Player2,Shapley2,Player3,Shapley3,Player4,Shapley4,Player5,Shapley5
Andre Iguodala,7.733333333333333,Kevin Durant,4.974999999999995,Stephen Curry,8.06666666666667,Klay Thompson,0.15833333333333416,Draymond Green,7.066666666666675
Paul George,8.528333333333325,Dennis Schroder,4.945000000000004,Steven Adams,4.5366666666666635,Jerami Grant,2.753333333333332,Terrance Ferguson,4.436666666666661
Paul Millsap,5.735000000000001,Nikola Jokic,2.760000000000001,Malik Beasley,9.559999999999999,Jamal Murray,1.901666666666668,Torrey Craig,2.843333333333335
LaMarcus Aldridge,0.09499999999999963,DeMar DeRozan,1.2949999999999995,Davis Bertans,12.12833333333333,Bryn Forbes,0.086666666666666,Derrick White,8.294999999999982
Rudy Gay,4.014999999999996,Marco Belinelli,1.0233333333333328,Patty Mills,4.498333333333332,Davis Bertans,8.340000000000009,Jakob Poeltl,3.923333333333329
Kyle Lowry,2.976666666666665,Danny Green,7.759999999999992,Jonas Valanciunas,6.243333333333328,Kawhi Leonard,0.5849999999999992,Pascal Siakam,3.7350000000000034
JJ Redick,2.958333333333337,Tobias Harris,1.9000000000000008,Jimmy Butler,3.5416666666666603,Joel Embiid,7.35,Ben Simmons,3.6499999999999946
Jrue Holiday,4.736666666666666,E'Twaun Moore,2.578333333333333,Anthony Davis,6.336666666666663,Elfrid Payton,6.128333333333322,Julius Randle,-0.5800000000000018
Jae Crowder,1.6066666666666682,Rudy Gobert,4.373333333333338,Joe Ingles,7.289999999999997,Royce O'Neale,3.348333333333334,Donovan Mitchell,2.4816666666666696
Evan Turner,2.2316666666666674,Al-Farouq Aminu,3.7316666666666642,Damian Lillard,2.331666666666666,CJ McCollum,1.8399999999999996,Jusuf Nurkic,7.664999999999995
Lou Williams,3.1250000000000004,Patrick Beverley,3.5750000000000033,Mike Scott,-0.5916666666666671,Montrezl Harrell,2.7833333333333337,Tyrone Wallace,8.608333333333338
Kevin Durant,4.2066666666666706,Stephen Curry,4.590000000000004,Klay Thompson,0.21499999999999933,Draymond Green,4.431666666666664,Kevon Looney,3.7566666666666677
D.J. Augustin,3.9250000000000025,Nikola Vucevic,2.2666666666666657,Evan Fournier,2.824999999999996,Jonathan Isaac,1.8833333333333315,Wes Iwundu,6.30000000000001
Serge Ibaka,0.12833333333333316,Danny Green,6.586666666666662,Kawhi Leonard,1.6616666666666673,Pascal Siakam,2.528333333333331,Fred VanVleet,4.795000000000003
Kyle Lowry,4.400000000000001,Serge Ibaka,-2.0499999999999985,Danny Green,6.241666666666669,Pascal Siakam,0.9333333333333331,Fred VanVleet,5.775000000000002
LeBron James,7.261666666666669,JaVale McGee,0.7283333333333337,Lonzo Ball,0.42833333333333246,Kyle Kuzma,1.5949999999999986,Josh Hart,4.88666666666666
Blake Griffin,1.3316666666666663,Reggie Jackson,2.340000000000001,Andre Drummond,5.014999999999999,Reggie Bullock,3.131666666666666,Bruce Brown,2.281666666666665
Dion Waiters,0.9783333333333335,Kelly Olynyk,4.353333333333334,Justise Winslow,3.8783333333333365,Josh Richardson,4.961666666666665,Bam Adebayo,-0.1716666666666667
Kyle Lowry,2.29833333333334,Marc Gasol,4.148333333333335,Danny Green,3.9399999999999955,Kawhi Leonard,1.556666666666668,Pascal Siakam,1.7566666666666655
Kevin Durant,3.9783333333333357,Stephen Curry,5.970000000000003,DeMarcus Cousins,-1.396666666666667,Klay Thompson,1.6949999999999994,Draymond Green,2.853333333333332
Ricky Rubio,1.698333333333334,Jae Crowder,1.556666666666666,Rudy Gobert,1.3566666666666682,Joe Ingles,4.7149999999999945,Donovan Mitchell,3.473333333333335
JJ Redick,6.170000000000003,Wilson Chandler,1.6533333333333298,Jimmy Butler,0.503333333333334,Joel Embiid,3.995000000000004,Ben Simmons,0.27833333333333327
Jeff Teague,5.6249999999999964,Taj Gibson,-0.1083333333333334,Andrew Wiggins,1.5916666666666646,Karl-Anthony Towns,3.291666666666662,Josh Okogie,2.1000000000000005
Al-Farouq Aminu,1.9600000000000006,Damian Lillard,2.2516666666666674,CJ McCollum,1.9516666666666664,Jusuf Nurkic,4.026666666666667,Jake Layman,1.1100000000000008
Derrick Rose,2.1283333333333347,Jeff Teague,1.9949999999999994,Taj Gibson,0.7116666666666663,Andrew Wiggins,1.9366666666666716,Karl-Anthony Towns,4.228333333333327
Andre Iguodala,1.1200000000000032,Kevin Durant,4.2866666666666635,Stephen Curry,5.4700000000000015,Klay Thompson,-1.155000000000001,Kevon Looney,-0.2216666666666666
Danilo Gallinari,2.031666666666666,Patrick Beverley,4.348333333333338,Ivica Zubac,1.0899999999999994,Shai Gilgeous-Alexander,-1.7099999999999989,Landry Shamet,3.5399999999999987
Russell Westbrook,0.19999999999999984,Paul George,4.8249999999999975,Dennis Schroder,1.6249999999999993,Steven Adams,1.816666666666665,Jerami Grant,0.8333333333333338
Russell Westbrook,0.15166666666666628,Paul George,4.22666666666667,Steven Adams,1.9766666666666663,Jerami Grant,1.7766666666666666,Terrance Ferguson,1.068333333333334
Al-Farouq Aminu,1.48833333333333,Damian Lillard,1.4800000000000002,Maurice Harkless,1.630000000000002,CJ McCollum,0.58,Jusuf Nurkic,4.021666666666667
Kyle Lowry,2.131666666666667,Serge Ibaka,-0.6600000000000005,Danny Green,5.331666666666666,Kawhi Leonard,0.3733333333333334,Pascal Siakam,2.023333333333332
LaMarcus Aldridge,-0.06666666666666655,Rudy Gay,2.7833333333333323,DeMar DeRozan,1.333333333333333,Patty Mills,3.7833333333333328,Bryn Forbes,0.9666666666666667
D.J. Augustin,2.320000000000001,Nikola Vucevic,2.911666666666663,Evan Fournier,1.3283333333333334,Aaron Gordon,-1.005000000000001,Wes Iwundu,3.1449999999999982
LaMarcus Aldridge,0.26500000000000007,Rudy Gay,3.3733333333333335,Marco Belinelli,1.1816666666666664,DeMar DeRozan,-1.2933333333333334,Patty Mills,4.973333333333338
Derrick Favors,-3.286666666666668,Rudy Gobert,4.429999999999999,Joe Ingles,2.6299999999999963,Royce O'Neale,1.3133333333333335,Donovan Mitchell,2.9133333333333358
Marvin Williams,0.5433333333333332,Nicolas Batum,0.22666666666666668,Kemba Walker,0.4183333333333329,Jeremy Lamb,2.7599999999999976,Cody Zeller,4.051666666666662
Paul Millsap,2.3683333333333323,Will Barton,1.435000000000001,Gary Harris,1.3849999999999991,Nikola Jokic,1.8516666666666686,Jamal Murray,0.7599999999999997
Jrue Holiday,3.653333333333336,Anthony Davis,2.603333333333334,Solomon Hill,-2.3883333333333363,Julius Randle,1.8700000000000014,Tim Frazier,1.861666666666667
Mason Plumlee,2.7983333333333347,Trey Lyles,2.890000000000001,Malik Beasley,0.11499999999999981,Juancho Hernangomez,0.9899999999999997,Monte Morris,0.7066666666666666
Kevin Durant,2.863333333333333,Stephen Curry,6.321666666666658,Klay Thompson,1.3549999999999982,Draymond Green,4.1883333333333335,Damian Jones,-7.228333333333336
Chris Paul,1.953333333333332,PJ Tucker,-0.12166666666666688,Eric Gordon,3.5533333333333337,James Harden,0.6199999999999992,Clint Capela,1.2950000000000006
D.J. Augustin,1.6483333333333348,Nikola Vucevic,3.2066666666666683,Terrence Ross,0.831666666666667,Evan Fournier,0.506666666666667,Aaron Gordon,0.3066666666666668
Marco Belinelli,-0.6633333333333326,DeMar DeRozan,-6.696666666666666,Patty Mills,3.9950000000000006,Davis Bertans,5.386666666666673,Jakob Poeltl,4.3783333333333285
Paul Millsap,2.098333333333332,Gary Harris,2.8816666666666664,Nikola Jokic,2.1900000000000004,Jamal Murray,-1.0016666666666656,Juancho Hernangomez,0.23166666666666666
Al Horford,1.6550000000000018,Kyrie Irving,2.4383333333333366,Marcus Morris,-2.1699999999999973,Marcus Smart,1.4133333333333338,Jayson Tatum,2.963333333333336
