team_id,team_name,wins
1610612737,Atlanta Hawks,29
1610612738,Boston Celtics,49
1610612751,Brooklyn Nets,42
1610612766,Charlotte Hornets,39
1610612741,Chicago Bulls,22
1610612739,Cleveland Cavaliers,19
1610612742,Dallas Mavericks,33
1610612743,Denver Nuggets,54
1610612765,Detroit Pistons,41
1610612744,Golden State Warriors,57
1610612745,Houston Rockets,53
1610612754,Indiana Pacers,48
1610612746,Los Angeles Clippers,48
1610612747,Los Angeles Lakers,37
1610612763,Memphis Grizzlies,33
1610612748,Miami Heat,39
1610612749,Milwaukee Bucks,60
1610612750,Minnesota Timberwolves,36
1610612740,New Orleans Pelicans,33
1610612752,New York Knicks,17
1610612760,Oklahoma City Thunder,49
1610612753,Orlando Magic,42
1610612755,Philadelphia 76ers,51
1610612756,Phoenix Suns,19
1610612757,Portland Trail Blazers,53
1610612758,Sacramento Kings,39
1610612759,San Antonio Spurs,48
1610612761,Toronto Raptors,58
1610612762,Utah Jazz,50
1610612764,Washington Wizards,32
